m,R : score,5m/6,gap,a : R/(5m/6)*100,a's average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1078,789,898.333,109.333,87.82934613,,0.016110229,,,
1052,786,876.667,90.6667,89.65776059,,2.895062695,,,
1006,749,838.333,89.3333,89.34397191,,1.925710447,,,
1105,828,920.833,92.8333,89.91858459,,3.850669861,,,
1117,787,930.833,143.833,84.54792643,,11.61682098,,,
1139,792,949.167,157.167,83.44158615,,20.38239023,,,
1040,756,866.667,110.667,87.23073568,,0.526403256,,,
1057,788,880.833,92.8333,89.46077179,,2.263518993,,,
1143,808,952.5,144.5,84.82939633,,9.777352797,,,
1060,755,883.333,128.333,85.47173037,,6.172948171,,,
1092,818,910,92,89.89010989,,3.739728173,,,
1118,834,931.667,97.6667,89.51696261,,2.435754511,,,
1081,785,900.833,115.833,87.14156786,,0.663743178,,,
1066,782,888.333,106.333,88.03005179,,0.005443427,,,
1037,755,864.167,109.167,87.36737228,,0.346803129,,,
1013,728,844.167,116.167,86.23886032,,2.949503599,,,
1108,795,923.333,128.333,86.10111412,,3.441611554,,,
1094,789,911.667,122.667,86.54475812,,1.992372029,,,
1174,892,978.333,86.3333,91.17549955,,10.36342466,,,
1204,900,1003.33,103.333,89.70129469,,3.045103451,,,
1129,809,940.833,131.833,85.98763011,,3.875551715,,,
1272,928,1060,132,87.54716981,,0.167364773,,,
1155,857,962.5,105.5,89.03896104,,1.1722151,,,
1082,783,901.667,118.667,86.83915459,,1.247951781,,,
1009,726,840.833,114.833,86.34294801,,2.60281499,,,
1108,798,923.333,125.333,86.42602398,,2.341659644,,,
1026,765,855,90,89.47368421,,2.302539179,,,
1044,752,870,118,86.43678161,,2.308851686,,,
1008,719,840,121,85.5952381,,5.574482091,,,
1104,817,920,103,88.80434783,,0.719232251,,,
1179,858,982.5,124.5,87.32824427,,0.394419087,,,
1072,774,893.333,119.333,86.64182337,,1.727775743,,,
1084,791,903.333,112.333,87.56460796,,0.153400887,,,
1122,837,935,98,89.51871658,,2.441232402,,,
1119,826,932.5,106.5,88.57908847,,0.387900096,,,
1008,734,840,106,87.38095238,,0.330992906,,,
1103,829,919.167,90.1667,90.19035714,,4.991135468,,,
1093,799,910.833,111.833,87.72189853,,0.054931024,,,
1147,839,955.833,116.833,87.77683968,,0.032196034,,,
1008,753,840,87,89.64285714,,2.844568736,,,
1117,821,930.833,109.833,88.20056874,,0.059680794,,,
1180,877,983.333,106.333,89.18647091,,1.513388843,,,
1108,828,923.333,95.3333,89.67512263,,2.954446754,,,
1095,809,912.5,103.5,88.65753425,,0.491768444,,,
1098,799,915,116,87.32240437,,0.401788437,,,
1039,768,865.833,97.8333,88.70070787,,0.554184457,,,
1052,768,876.667,108.667,87.60452943,,0.123722985,,,
1064,780,886.667,106.667,87.96989174,,0.000185492,,,
1088,829,906.667,77.6667,91.43378991,,12.09312938,,,
1185,873,987.5,114.5,88.40506329,,0.201413435,,,
1063,779,885.833,106.833,87.93982613,,0.000270474,,,
1040,755,866.667,111.667,87.11535111,,0.707148297,,,
1128,842,940,98,89.57446809,,2.61855789,,,
1100,797,916.667,119.667,86.94542293,,1.021816269,,,
1107,842,922.5,80.5,91.27371274,,11.00541165,,,
1077,793,897.5,104.5,88.35654596,,0.160219076,,,
1018,763,848.333,85.3333,89.94109624,,3.939526446,,,
1040,743,866.667,123.667,85.73073626,,4.953010276,,,
1032,785,860,75,91.27906977,,11.04098361,,,
1081,789,900.833,111.833,87.58560133,,0.137396904,,,
1103,784,919.167,135.167,85.29462002,,7.08439238,,,
1029,760,857.5,97.5,88.62973761,,0.453555644,,,
1095,801,912.5,111.5,87.78082192,,0.030782805,,,
1147,847,955.833,108.833,88.61380597,,0.432350643,,,
1031,720,859.167,139.167,83.80210134,,17.25713564,,,
1100,809,916.667,107.667,88.25451336,,0.088947785,,,
1152,856,960,104,89.16666667,,1.465054741,,,
1021,765,850.833,85.8333,89.91188635,,3.82442667,,,
1078,784,898.333,114.333,87.27275966,,0.467189412,,,
1137,830,947.5,117.5,87.59894459,,0.127683027,,,
1010,731,841.667,110.667,86.85145075,,1.220630454,,,
1040,752,866.667,114.667,86.7691974,,1.409146613,,,
1056,762,880,118,86.59090909,,1.864216447,,,
1130,800,941.667,141.667,84.95572214,,9.003300725,,,
1125,834,937.5,103.5,88.96,,1.007469476,,,
1113,821,927.5,106.5,88.51752022,,0.314999324,,,
1253,931,1044.17,113.167,89.16172654,,1.453120139,,,
1241,905,1034.17,129.167,87.50979046,,0.199345953,,,
1168,857,973.333,116.333,88.04797536,,0.008409468,,,
1118,800,931.667,131.667,85.86759003,,4.362593251,,,
1229,893,1024.17,131.167,87.19255592,,0.583262567,,,
1234,938,1028.33,90.3333,91.21585483,,10.62487887,,,
1150,864,958.333,94.3333,90.1565531,,4.841235986,,,
1219,888,1015.83,127.833,87.41620153,,0.29167634,,,
1147,845,955.833,110.833,88.4045644,,0.200965884,,,
1089,791,907.5,116.5,87.16253444,,0.630019655,,,
1067,799,889.167,90.1667,89.85938524,,3.621839223,,,
1047,758,872.5,114.5,86.87679083,,1.165280048,,,
1145,812,954.167,142.167,85.10040695,,8.155966373,,,
1187,878,989.167,111.167,88.76155391,,0.648478622,,,
1206,883,1005,122,87.86069652,,0.009134713,,,
1267,952,1055.83,103.833,90.16603052,,4.883031772,,,
1251,925,1042.5,117.5,88.72901679,,0.597134181,,,
1164,869,970,101,89.58762887,,2.661324539,,,
1187,859,989.167,130.167,86.8407458,,1.244399173,,,
1179,878,982.5,104.5,89.36386768,,1.98132502,,,
1196,881,996.667,115.667,88.39461927,,0.192148142,,,
1123,819,935.833,116.833,87.51561443,,0.194179278,,,
1082,788,901.667,113.667,87.39368303,,0.316506581,,,
1260,928,1050,122,88.38095238,,0.180353248,,,
1098,812,915,103,88.7431694,,0.619207186,,,
1015,755,845.833,90.8333,89.26111892,,1.702624938,,,
1122,830,935,105,88.77005348,,0.662239949,,,
1168,856,973.333,117.333,87.9452356,,0.000121807,,,
1102,820,918.333,98.3333,89.29222842,,1.78477899,,,
1026,740,855,115,86.5497076,,1.978423996,,,
1108,776,923.333,147.333,84.04335164,,15.31094739,,,
1047,793,872.5,79.5,90.88825215,,8.596506363,,,
1103,801,919.167,118.167,87.14412071,,0.65959006,,,
1183,888,985.833,97.8333,90.07610823,,4.493704731,,,
1142,857,951.667,94.6667,90.05250786,,4.394203911,,,
1209,904,1007.5,103.5,89.72704715,,3.135643875,,,
1190,883,991.667,108.667,89.04198688,,1.178776337,,,
1119,817,932.5,115.5,87.61394102,,0.117190644,,,
1162,843,968.333,125.333,87.05682859,,0.808998824,,,
1056,808,880,72,91.81818182,,14.91434582,,,
1126,823,938.333,115.333,87.70873453,,0.061274902,,,
1151,878,959.167,81.1667,91.53776141,,12.8270649,,,
1126,820,938.333,118.333,87.38901861,,0.321776646,,,
1163,862,969.167,107.167,88.94235978,,0.972368694,,,
1129,837,940.833,103.833,88.9637162,,1.014943385,,,
1205,858,1004.17,146.167,85.44369977,,6.313020256,,,
1114,825,928.333,103.333,88.86897266,,0.833022119,,,
1146,856,955,99,89.63350785,,2.813119404,,,
1169,838,974.167,136.167,86.0222118,,3.74058968,,,
1043,788,869.167,81.1667,90.66151844,,7.318357178,,,
1157,843,964.167,121.167,87.43298619,,0.273828254,,,
1061,757,884.167,127.167,85.61730985,,5.470744912,,,
1186,876,988.333,112.333,88.63409397,,0.459442344,,,
