m,R : score,5m/6,gap,a : R/(5m/6)*100,a's average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1352,966,1126.67,160.667,85.7393913,,2.200978807,,,
1274,877,1061.67,184.667,82.6057061,,21.31904203,,,
1379,963,1149.17,186.167,83.79961189,,11.71931856,,,
1269,950,1057.5,107.5,89.83451537,,6.820216627,,,
1199,865,999.167,134.167,86.57211457,,0.423600969,,,
1433,1017,1194.17,177.167,85.1637539,,4.240333533,,,
1074,776,895,119,86.70391061,,0.26941322,,,
1160,822,966.667,144.667,85.03445344,,4.789565006,,,
1213,857,1010.83,153.833,84.78181297,,5.959203335,,,
1310,967,1091.67,124.667,88.5798822,,1.841235357,,,
1265,947,1054.17,107.167,89.83370804,,6.816000502,,,
1381,989,1150.83,161.833,85.9379752,,1.651188299,,,
1331,946,1109.17,163.167,85.28899988,,3.740205293,,,
1281,936,1067.5,131.5,87.68149883,,0.210257014,,,
1426,1043,1188.33,145.333,87.77023217,,0.299505826,,,
1194,823,995,172,82.71356784,,20.33462596,,,
1365,999,1137.5,138.5,87.82417582,,0.361459361,,,
1303,983,1085.83,102.833,90.52982511,,10.93535078,,,
1321,970,1100.83,130.833,88.11533116,,0.796324644,,,
1221,902,1017.5,115.5,88.64864865,,2.0325855,,,
1367,1007,1139.17,132.167,88.39769306,,1.379995594,,,
1219,873,1015.83,142.833,85.9395765,,1.647075559,,,
1113,816,927.5,111.5,87.97843666,,0.57074359,,,
1143,818,952.5,134.5,85.87926509,,1.805518479,,,
1336,969,1113.33,144.333,87.03618873,,0.034883851,,,
1469,1085,1224.17,139.167,88.63148092,,1.983928595,,,
1234,897,1028.33,131.333,87.22880787,,3.41869E-05,,,
1105,822,920.833,98.8333,89.26700064,,4.178098375,,,
1429,1041,1190.83,149.833,87.41801936,,0.038047797,,,
1264,900,1053.33,153.333,85.44330836,,3.167163217,,,
1037,748,864.167,116.167,86.55734366,,0.443046335,,,
1238,902,1031.67,129.667,87.43105838,,0.043304553,,,
1313,989,1094.17,105.167,90.38814809,,10.01840985,,,
1380,1025,1150,125,89.13043478,,3.638456537,,,
1271,932,1059.17,127.167,87.99342882,,0.59362078,,,
1283,922,1069.17,147.167,86.23511696,,0.97583569,,,
1248,894,1040,146,85.96153846,,1.591186619,,,
1327,976,1105.83,129.833,88.25949739,,1.074407856,,,
1373,1001,1144.17,143.167,87.48699931,,0.069716271,,,
1212,875,1010,135,86.63366337,,0.347271607,,,
1415,1009,1179.17,170.167,85.5686627,,2.736702589,,,
1298,922,1081.67,159.667,85.23856629,,3.937822044,,,
1349,1002,1124.17,122.167,89.13242659,,3.646059146,,,
1409,1026,1174.17,148.167,87.3808733,,0.024936319,,,
1328,982,1106.67,124.667,88.73467249,,2.285271859,,,
1285,900,1070.83,170.833,84.04695423,,10.08701848,,,
1300,978,1083.33,105.333,90.27720085,,9.328381568,,,
1114,809,928.333,119.333,87.14545319,,0.006007448,,,
1301,937,1084.17,147.167,86.42556057,,0.635847323,,,
1422,1048,1185,137,88.43881857,,1.478309814,,,
1180,873,983.333,110.333,88.77969111,,2.42340889,,,
1247,898,1039.17,141.167,86.41511976,,0.652607341,,,
1321,996,1100.83,104.833,90.4771854,,10.58997694,,,
1379,997,1149.17,152.167,86.75826901,,0.21593857,,,
1340,1008,1116.67,108.667,90.26838726,,9.274621584,,,
1296,948,1080,132,87.77777778,,0.307821746,,,
1210,889,1008.33,119.333,88.16558071,,0.888532074,,,
1257,921,1047.5,126.5,87.92362768,,0.490933916,,,
1353,964,1127.5,163.5,85.49889135,,2.972415873,,,
1430,1026,1191.67,165.667,86.09766127,,1.266299313,,,
1142,839,951.667,112.667,88.16108996,,0.880086098,,,
1317,912,1097.5,185.5,83.09794989,,17.01571603,,,
1253,935,1044.17,109.167,89.54480592,,5.390964215,,,
1314,965,1095,130,88.12785388,,0.818831271,,,
1252,907,1043.33,136.333,86.93318509,,0.083970032,,,
1322,928,1101.67,173.667,84.23575118,,8.923422044,,,
1301,923,1084.17,161.167,85.13425016,,4.362712623,,,
1218,876,1015,139,86.30541872,,0.84188369,,,
1472,1075,1226.67,151.667,87.63563142,,0.170296946,,,
1125,815,937.5,122.5,86.93333333,,0.083884139,,,
1247,879,1039.17,160.167,84.58673749,,6.94967396,,,
1426,1012,1188.33,176.333,85.1615292,,4.249500716,,,
1470,1038,1225,187,84.73469388,,6.191472875,,,
1440,1006,1200,194,83.83333333,,11.48957518,,,
1211,900,1009.17,109.167,89.18219923,,3.838614767,,,
1374,1001,1145,144,87.42358079,,0.040248331,,,
1254,931,1045,114,89.09090909,,3.489230369,,,
1223,890,1019.17,129.167,87.32596132,,0.010609083,,,
1216,889,1013.33,124.333,87.73055175,,0.257648446,,,
1301,971,1084.17,113.167,89.56160012,,5.469233299,,,
1313,948,1094.17,146.167,86.64101556,,0.338660397,,,
1325,968,1104.17,136.167,87.66765987,,0.197757157,,,
1194,878,995,117,88.24120603,,1.036823104,,,
1464,1080,1220,140,88.52459016,,1.694238689,,,
1333,953,1110.83,157.833,85.7917053,,2.048492646,,,
1275,945,1062.5,117.5,88.94117647,,2.952264678,,,
