m,score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1292,938,1076.67,138.667,87.12047331,,0.111035001,,,
1220,885,1016.67,131.667,87.04889492,,0.163861047,,,
1167,865,972.5,107.5,88.94601542,,2.227027829,,,
1234,901,1028.33,127.333,87.61778806,,0.026927367,,,
1265,948,1054.17,106.167,89.9285694,,6.125015847,,,
1291,988,1075.83,87.8333,91.83607075,,19.20523952,,,
1306,939,1088.33,149.333,86.27897788,,1.379954336,,,
1179,868,982.5,114.5,88.34605598,,0.796312651,,,
1527,1049,1272.5,223.5,82.43614931,,25.17573924,,,
1344,968,1120,152,86.42857143,,1.050873129,,,
1454,1082,1211.67,129.667,89.29824127,,3.402360314,,,
1226,892,1021.67,129.667,87.30803488,,0.021216129,,,
1474,1094,1228.33,134.333,89.06401374,,2.593134632,,,
1575,1170,1312.5,142.5,89.14285714,,2.853277326,,,
1490,1045,1241.67,196.667,84.16084789,,10.84282536,,,
1288,944,1073.33,129.333,87.9505837,,0.246900902,,,
1225,855,1020.83,165.833,83.75537553,,13.67754813,,,
1294,921,1078.33,157.333,85.40984671,,4.17730546,,,
1321,928,1100.83,172.833,84.30002816,,9.945598514,,,
1288,990,1073.33,83.3333,92.23631129,,22.8734429,,,
1254,945,1045,100,90.43062201,,8.862109543,,,
1267,940,1055.83,115.833,89.02948391,,2.483118704,,,
1252,878,1043.33,165.333,84.15362349,,10.89045518,,,
1145,809,954.167,145.167,84.78599658,,7.116601301,,,
1350,1001,1125,124,88.97777778,,2.322836056,,,
1259,924,1049.17,125.167,88.06961694,,0.379362959,,,
1588,1175,1323.33,148.333,88.79115565,,1.788807772,,,
1295,933,1079.17,146.167,86.45533141,,0.996724782,,,
1437,1063,1197.5,134.5,88.76826722,,1.728106809,,,
1441,1040,1200.83,160.833,86.60676366,,0.717288401,,,
1372,975,1143.33,168.333,85.27721655,,4.73704738,,,
1358,954,1131.67,177.667,84.30019352,,9.944555569,,,
1227,921,1022.5,101.5,90.07334963,,6.862603705,,,
1239,896,1032.5,136.5,86.77966102,,0.454318386,,,
1415,1055,1179.17,124.167,89.46971175,,4.064333763,,,
1387,1009,1155.83,146.833,87.29657476,,0.024685973,,,
1299,960,1082.5,122.5,88.68360277,,1.512679374,,,
1265,908,1054.17,146.167,86.13411499,,1.741284697,,,
1507,1083,1255.83,172.833,86.23778696,,1.478426181,,,
1413,1059,1177.5,118.5,89.93630573,,6.163368661,,,
1287,987,1072.5,85.5,92.02797203,,20.92403357,,,
1222,904,1018.33,114.333,88.77279467,,1.74003065,,,
1428,1097,1190,93,92.18487395,,22.38407829,,,
1303,948,1085.83,137.833,87.30648444,,0.021670201,,,
1453,997,1210.83,213.833,82.34021291,,26.14767309,,,
1329,944,1107.5,163.5,85.23702032,,4.913635394,,,
1469,997,1224.17,227.167,81.44293685,,36.12918304,,,
1346,980,1121.67,141.667,87.3697255,,0.007050451,,,
1238,875,1031.67,156.667,84.81394244,,6.968280153,,,
1168,824,973.333,149.333,84.65756324,,7.818338621,,,
1314,929,1095,166,84.84018265,,6.830433535,,,
1355,1057,1129.17,72.1667,93.60857975,,37.88263759,,,
1341,1001,1117.5,116.5,89.57494407,,4.4997084,,,
1508,1113,1256.67,143.667,88.56740433,,1.24035413,,,
1299,914,1082.5,168.5,84.43418014,,9.117454659,,,
1238,933,1031.67,98.6667,90.4358952,,8.893533177,,,
1399,1022,1165.83,143.833,87.6628668,,0.043753904,,,
1173,847,977.5,130.5,86.64961637,,0.646538361,,,
1407,1039,1172.5,133.5,88.61407249,,1.346481825,,,
1353,962,1127.5,165.5,85.32150776,,4.546211593,,,
1307,923,1089.17,166.167,84.74342848,,7.345530829,,,
1297,945,1080.83,135.833,87.43280627,,0.000436233,,,
1307,971,1089.17,118.167,89.15045402,,2.878999776,,,
1288,973,1073.33,100.333,90.65245544,,10.23208462,,,
1317,969,1097.5,128.5,88.29157175,,0.702041711,,,
1274,907,1061.67,154.667,85.43144292,,4.089493221,,,
1304,965,1086.67,121.667,88.80340858,,1.821733601,,,
1359,1028,1132.5,104.5,90.77262693,,11.01532603,,,
1256,921,1046.67,125.667,87.99335034,,0.291230627,,,
1260,891,1050,159,84.85714286,,6.74206984,,,
1613,1183,1344.17,161.167,88.00970115,,0.309145668,,,
1366,973,1138.33,165.333,85.47609217,,3.910902907,,,
1308,941,1090,149,86.33027523,,1.262066274,,,
1291,941,1075.83,134.833,87.46735079,,0.00018655,,,
1397,1016,1164.17,148.167,87.27247739,,0.032838903,,,
1311,1000,1092.5,92.5,91.53318078,,16.64222494,,,
1577,1127,1314.17,187.167,85.75755039,,2.876897911,,,
1585,1098,1320.83,222.833,83.12954733,,18.6982311,,,
1556,1148,1296.67,148.667,88.53447678,,1.168094736,,,
1300,946,1083.33,137.333,87.32334561,,0.016990301,,,
1341,968,1117.5,149.5,86.62192394,,0.691838875,,,
1209,869,1007.5,138.5,86.25310174,,1.441418084,,,
1324,955,1103.33,148.333,86.55615274,,0.805577553,,,
1204,854,1003.33,149.333,85.11656185,,5.462179493,,,
1297,948,1080.83,132.833,87.71037073,,0.065883736,,,
1295,915,1079.17,164.167,84.7873829,,7.10920669,,,
