m,R : score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1200,929,1000,71,92.9,,0.31593989,,,
1227,952,1022.5,70.5,93.10513447,,0.127413896,,,
1056,827,880,53,93.97727273,,0.26541808,,,
1146,882,955,73,92.35602094,,1.223378375,,,
1092,850,910,60,93.40659341,,0.003079351,,,
1167,923,972.5,49.5,94.91002571,,2.096531407,,,
1182,929,985,56,94.31472081,,0.726987308,,,
1176,921,980,59,93.97959184,,0.26781301,,,
1137,890,947.5,57.5,93.93139842,,0.220254797,,,
1104,871,920,49,94.67391304,,1.468526467,,,
1137,896,947.5,51.5,94.5646438,,1.215635233,,,
1065,825,887.5,62.5,92.95774648,,0.254357652,,,
1167,910,972.5,62.5,93.57326478,,0.012360876,,,
1089,845,907.5,62.5,93.11294766,,0.121897096,,,
1245,975,1037.5,62.5,93.97590361,,0.264009255,,,
1155,882,962.5,80.5,91.63636364,,3.333259612,,,
1212,941,1010,69,93.16831683,,0.086299916,,,
1170,911,975,64,93.43589744,,0.000685804,,,
1242,986,1035,49,95.26570048,,3.25302771,,,
1107,847,922.5,75.5,91.81571816,,2.710524786,,,
1206,921,1005,84,91.64179104,,3.313471195,,,
1233,976,1027.5,51.5,94.98783455,,2.327910758,,,
1137,895,947.5,52.5,94.4591029,,0.994044089,,,
1065,846,887.5,41.5,95.32394366,,3.466516541,,,
1131,868,942.5,74.5,92.09549072,,1.867580771,,,
1134,888,945,57,93.96825397,,0.256206715,,,
1083,856,902.5,46.5,94.84764543,,1.919776858,,,
1188,936,990,54,94.54545455,,1.173688911,,,
1203,933,1002.5,69.5,93.06733167,,0.155830432,,,
1167,921,972.5,51.5,94.70437018,,1.54327171,,,
1074,850,895,45,94.97206704,,2.280044837,,,
1257,981,1047.5,66.5,93.65155131,,0.035897368,,,
1191,928,992.5,64.5,93.50125945,,0.001534613,,,
1125,856,937.5,81.5,91.30666667,,4.645829507,,,
1179,923,982.5,59.5,93.94402036,,0.232261393,,,
1149,889,957.5,68.5,92.845953,,0.379619014,,,
1221,940,1017.5,77.5,92.38329238,,1.163794168,,,
1128,890,940,50,94.68085106,,1.485389974,,,
1194,925,995,70,92.96482412,,0.247268686,,,
1032,815,860,45,94.76744186,,1.703955736,,,
1092,836,910,74,91.86813187,,2.54068756,,,
1200,923,1000,77,92.3,,1.350442257,,,
1245,979,1037.5,58.5,94.36144578,,0.808849269,,,
1167,905,972.5,67.5,93.05912596,,0.162376231,,,
1305,1025,1087.5,62.5,94.25287356,,0.625346069,,,
1140,887,950,63,93.36842105,,0.008772992,,,
1128,885,940,55,94.14893617,,0.471764111,,,
1071,838,892.5,54.5,93.89355742,,0.186168188,,,
1230,949,1025,76,92.58536585,,0.768636997,,,
1263,987,1052.5,65.5,93.77672209,,0.098996307,,,
1143,883,952.5,69.5,92.70341207,,0.575585073,,,
1266,987,1055,68,93.55450237,,0.008540914,,,
1170,921,975,54,94.46153846,,0.998906612,,,
1164,923,970,47,95.15463918,,2.864738603,,,
1107,854,922.5,68.5,92.57452575,,0.787761972,,,
1182,929,985,56,94.31472081,,0.726987308,,,
1086,848,905,57,93.70165746,,0.057394817,,,
1077,829,897.5,68.5,92.36768802,,1.197705413,,,
1170,886,975,89,90.87179487,,6.709604529,,,
1236,929,1030,101,90.19417476,,10.67923935,,,
1089,852,907.5,55.5,93.88429752,,0.178263155,,,
1203,932,1002.5,70.5,92.96758105,,0.244534461,,,
1140,879,950,71,92.52631579,,0.875664587,,,
1230,965,1025,60,94.14634146,,0.46820649,,,
1086,837,905,68,92.48618785,,0.952375852,,,
1215,943,1012.5,69.5,93.13580247,,0.106460489,,,
1167,913,972.5,59.5,93.88174807,,0.176116838,,,
1134,890,945,55,94.17989418,,0.515249581,,,
1131,878,942.5,64.5,93.15649867,,0.093383189,,,
1152,883,960,77,91.97916667,,2.199047689,,,
1095,845,912.5,67.5,92.60273973,,0.738474824,,,
1089,847,907.5,60.5,93.33333333,,0.01657707,,,
1113,861,927.5,66.5,92.83018868,,0.399293346,,,
1197,935,997.5,62.5,93.73433584,,0.074120353,,,
1161,902,967.5,65.5,93.22997416,,0.053875584,,,
1242,974,1035,61,94.10628019,,0.414987054,,,
1077,836,897.5,61.5,93.14763231,,0.098880685,,,
1122,883,935,52,94.43850267,,0.953390878,,,
1200,935,1000,65,93.5,,0.001437524,,,
1155,902,962.5,60.5,93.71428571,,0.063605046,,,
1185,918,987.5,69.5,92.96202532,,0.250059992,,,
1197,940,997.5,57.5,94.23558897,,0.598307923,,,
1209,949,1007.5,58.5,94.19354839,,0.53503824,,,
1125,876,937.5,61.5,93.44,,0.000487761,,,
1125,875,937.5,62.5,93.33333333,,0.01657707,,,
1209,941,1007.5,66.5,93.39950372,,0.003916455,,,
1188,913,990,77,92.22222222,,1.537260465,,,
1173,911,977.5,66.5,93.19693095,,0.070306834,,,
1104,861,920,59,93.58695652,,0.015592821,,,
1020,772,850,78,90.82352941,,6.961977203,,,
1260,990,1050,60,94.28571429,,0.678364698,,,
1149,893,957.5,64.5,93.26370757,,0.039353725,,,
1164,921,970,49,94.94845361,,2.209290732,,,
1260,974,1050,76,92.76190476,,0.490252793,,,
1152,885,960,75,92.1875,,1.6245677,,,
1197,934,997.5,63.5,93.63408521,,0.029583968,,,
1146,909,955,46,95.18324607,,2.96239439,,,
1179,916,982.5,66.5,93.23155216,,0.05314553,,,
1203,942,1002.5,60.5,93.96508728,,0.253010988,,,
1155,904,962.5,58.5,93.92207792,,0.211593208,,,
1089,848,907.5,59.5,93.44352617,,0.000344441,,,
1125,865,937.5,72.5,92.26666667,,1.429025721,,,
1107,876,922.5,46.5,94.95934959,,2.241800349,,,
1236,976,1030,54,94.75728155,,1.677533321,,,
1128,868,940,72,92.34042553,,1.258120647,,,
1116,871,930,59,93.65591398,,0.037569555,,,
1116,878,930,52,94.40860215,,0.895894138,,,
1113,855,927.5,72.5,92.18328841,,1.6353215,,,
1104,869,920,51,94.45652174,,0.988903821,,,
1140,878,950,72,92.42105263,,1.083749028,,,
1065,817,887.5,70.5,92.05633803,,1.976125407,,,
1209,936,1007.5,71.5,92.90322581,,0.312323939,,,
1065,823,887.5,64.5,92.73239437,,0.532448866,,,
1188,912,990,78,92.12121212,,1.797940896,,,
1158,898,965,67,93.05699482,,0.164098302,,,
1182,914,985,71,92.79187817,,0.449177601,,,
1110,844,925,81,91.24324324,,4.923260096,,,
1125,882,937.5,55.5,94.08,,0.38181857,,,
1059,832,882.5,50.5,94.2776204,,0.665097485,,,
1206,947,1005,58,94.22885572,,0.587936871,,,
1224,935,1020,85,91.66666667,,3.223528088,,,
1167,913,972.5,59.5,93.88174807,,0.176116838,,,
1218,939,1015,76,92.51231527,,0.902063118,,,
1116,870,930,60,93.5483871,,0.007447999,,,
1176,919,980,61,93.7755102,,0.098235167,,,
1077,838,897.5,59.5,93.37047354,,0.008392716,,,
1149,888,957.5,69.5,92.74151436,,0.519222487,,,
1149,890,957.5,67.5,92.95039164,,0.261830402,,,
1068,829,890,61,93.14606742,,0.099867306,,,
1233,968,1027.5,59.5,94.20924574,,0.558248718,,,
1146,882,955,73,92.35602094,,1.223378375,,,
1218,954,1015,61,93.99014778,,0.278849981,,,
1164,897,970,73,92.4742268,,0.975864418,,,
1287,1009,1072.5,63.5,94.07925408,,0.380897296,,,
1263,989,1052.5,63.5,93.96674584,,0.254682259,,,
1224,933,1020,87,91.47058824,,3.966060579,,,
1110,854,925,71,92.32432432,,1.29450005,,,
1221,945,1017.5,72.5,92.87469287,,0.345029867,,,
1047,816,872.5,56.5,93.5243553,,0.003877552,,,
1206,910,1005,95,90.54726368,,8.496185097,,,
1206,938,1005,67,93.33333333,,0.01657707,,,
1236,960,1030,70,93.2038835,,0.066668175,,,
1062,826,885,59,93.33333333,,0.01657707,,,
1224,961,1020,59,94.21568627,,0.567914421,,,
1212,937,1010,73,92.77227723,,0.475835184,,,
1161,903,967.5,64.5,93.33333333,,0.01657707,,,
1251,966,1042.5,76.5,92.6618705,,0.640343729,,,
1059,829,882.5,53.5,93.93767705,,0.226187511,,,
1149,894,957.5,63.5,93.36814621,,0.008824553,,,
1200,939,1000,61,93.9,,0.19176928,,,
1239,967,1032.5,65.5,93.65617433,,0.037670551,,,
1155,903,962.5,59.5,93.81818182,,0.126804727,,,
1242,970,1035,65,93.71980676,,0.06642035,,,
1146,888,955,67,92.98429319,,0.228285302,,,
1266,988,1055,67,93.6492891,,0.035045261,,,
1116,874,930,56,93.97849462,,0.266678584,,,
1146,879,955,76,92.04188482,,2.016969427,,,
1182,929,985,56,94.31472081,,0.726987308,,,
1179,918,982.5,64.5,93.4351145,,0.000727424,,,
1290,1005,1075,70,93.48837209,,0.000690995,,,
1173,905,977.5,72.5,92.5831202,,0.772579648,,,
1203,939,1002.5,63.5,93.66583541,,0.041514106,,,
1074,837,895,58,93.51955307,,0.003302544,,,
1212,936,1010,74,92.67326733,,0.622233803,,,
1119,878,932.5,54.5,94.15549598,,0.480818362,,,
1182,931,985,54,94.5177665,,1.11446278,,,
1179,929,982.5,53.5,94.55470738,,1.193822996,,,
1116,878,930,52,94.40860215,,0.895894138,,,
1149,908,957.5,49.5,94.83028721,,1.871976442,,,
1122,884,935,51,94.54545455,,1.173688911,,,
1137,899,947.5,48.5,94.88126649,,2.014075237,,,
1260,987,1050,63,94,,0.289352219,,,
1197,942,997.5,55.5,94.43609023,,0.948685585,,,
1158,887,965,78,91.91709845,,2.386984396,,,
1086,833,905,72,92.0441989,,2.010401872,,,
1107,861,922.5,61.5,93.33333333,,0.01657707,,,
1167,915,972.5,57.5,94.0874036,,0.391022969,,,
1179,924,982.5,58.5,94.04580153,,0.340724627,,,
1110,872,925,53,94.27027027,,0.653162938,,,
1275,992,1062.5,70.5,93.36470588,,0.009482752,,,
1134,881,945,64,93.22751323,,0.05502406,,,
1143,887,952.5,65.5,93.12335958,,0.114735117,,,
1086,847,905,58,93.59116022,,0.016660334,,,
1128,883,940,57,93.93617021,,0.2247565,,,
1131,871,942.5,71.5,92.4137931,,1.09891654,,,
