m,R : score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1372,804,1143.33,339.333,70.32090473,,1.371053425,,,
1371,774,1142.5,368.5,67.74617068,,1.970694144,,,
1314,762,1095,333,69.5890411,,0.192770413,,,
1339,782,1115.83,333.833,70.08236022,,0.869323879,,,
1338,769,1115,346,68.96860987,,0.032896874,,,
1247,713,1039.17,326.167,68.61245032,,0.288943338,,,
1336,773,1113.33,340.333,69.4313456,,0.07916389,,,
1428,847,1190,343,71.17647059,,4.106644569,,,
1347,745,1122.5,377.5,66.36971047,,7.729925474,,,
1332,761,1110,349,68.55855856,,0.349785023,,,
1315,749,1095.83,346.833,68.35001779,,0.639947242,,,
1357,771,1130.83,359.833,68.18000937,,0.940852367,,,
1284,760,1070,310,71.02803738,,3.52708143,,,
1396,800,1163.33,363.333,68.76810535,,0.145831928,,,
1425,827,1187.5,360.5,69.64210526,,0.242182531,,,
1347,760,1122.5,362.5,67.70601336,,2.085053569,,,
1360,793,1133.33,340.333,69.97079403,,0.673727762,,,
1305,744,1087.5,343.5,68.4137931,,0.541978244,,,
1320,761,1100,339,69.18181818,,0.001013363,,,
1414,826,1178.33,352.333,70.0992082,,0.901025028,,,
1275,751,1062.5,311.5,70.68235294,,2.348152059,,,
1355,779,1129.17,350.167,68.98872623,,0.026004332,,,
1290,730,1075,345,67.90697674,,1.545069077,,,
1361,778,1134.17,356.167,68.59641853,,0.306435641,,,
1286,731,1071.67,340.667,68.21129639,,0.881135973,,,
1402,830,1168.33,338.333,71.04157216,,3.578102659,,,
1335,765,1112.5,347.5,68.76404494,,0.148949588,,,
1384,811,1153.33,342.333,70.31812231,,1.364545188,,,
1347,762,1122.5,360.5,67.88418708,,1.602243912,,,
1375,832,1145.83,313.833,72.61112032,,11.97945897,,,
1254,722,1045,323,69.09090909,,0.003489942,,,
1355,777,1129.17,352.167,68.81160498,,0.114500913,,,
1321,770,1100.83,330.833,69.94722164,,0.63558655,,,
1397,804,1164.17,360.167,69.06207856,,0.00772751,,,
1349,773,1124.17,351.167,68.76184207,,0.150654794,,,
1345,778,1120.83,342.833,69.41284584,,0.069095914,,,
1350,793,1125,332,70.48888889,,1.792664106,,,
1375,787,1145.83,358.833,68.68383617,,0.217294563,,,
1375,785,1145.83,360.833,68.50929021,,0.410489585,,,
1357,771,1130.83,359.833,68.18000937,,0.940852367,,,
1335,765,1112.5,347.5,68.76404494,,0.148949588,,,
1306,755,1088.33,333.333,69.37234111,,0.04944232,,,
1380,802,1150,348,69.73913043,,0.347092555,,,
1351,776,1125.83,349.833,68.92692502,,0.049755673,,,
1344,781,1120,339,69.73214286,,0.33890798,,,
1349,786,1124.17,338.167,69.9182508,,0.590232614,,,
1281,726,1067.5,341.5,68.00936768,,1.301007457,,,
1354,788,1128.33,340.333,69.83772478,,0.472986251,,,
1286,746,1071.67,325.667,69.61098099,,0.212517471,,,
1367,782,1139.17,357.167,68.64647068,,0.253526493,,,
1330,755,1108.33,353.333,68.12050563,,1.059827412,,,
1373,794,1144.17,350.167,69.39528217,,0.06017079,,,
1353,776,1127.5,351.5,68.8248337,,0.105723249,,,
1352,768,1126.67,358.667,68.1654788,,0.969252103,,,
1359,771,1132.5,361.5,68.0794702,,1.146001554,,,
1291,725,1075.83,350.833,67.38982925,,3.098147637,,,
