m,score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1115,912,929.167,17.1667,98.15243116,,3.172417259,,,
1064,838,886.667,48.6667,94.51124266,,3.45982471,,,
1132,903,943.333,40.3333,95.72441545,,0.418463592,,,
1005,807,837.5,30.5,96.35820896,,0.000171456,,,
1096,883,913.333,30.3333,96.6788674,,0.094595818,,,
1084,887,903.333,16.3333,98.19191815,,3.314639277,,,
1052,863,876.667,13.6667,98.44102721,,4.28375801,,,
1113,892,927.5,35.5,96.17250674,,0.039519981,,,
1074,876,895,19,97.87709497,,2.267409252,,,
1013,820,844.167,24.1667,97.13717783,,0.586564153,,,
1139,901,949.167,48.1667,94.9253398,,2.090809784,,,
1105,888,920.833,32.8333,96.43442405,,0.003984258,,,
1015,804,845.833,41.8333,95.05422465,,1.734695559,,,
1027,829,855.833,26.8333,96.86469206,,0.243432696,,,
1069,860,890.833,30.8333,96.53885745,,0.028074471,,,
1060,843,883.333,40.3333,95.43399828,,0.878540275,,,
1147,928,955.833,27.8333,97.08808966,,0.51378301,,,
1131,913,942.5,29.5,96.87002653,,0.248725085,,,
1050,849,875,26,97.02857143,,0.432001695,,,
1122,892,935,43,95.40106952,,0.941353144,,,
1059,857,882.5,25.5,97.11048159,,0.546384879,,,
1038,838,865,27,96.87861272,,0.257363078,,,
1167,938,972.5,34.5,96.45244216,,0.006583552,,,
1145,914,954.167,40.1667,95.79035955,,0.337495374,,,
1077,861,897.5,36.5,95.93314763,,0.191980188,,,
1073,868,894.167,26.1667,97.07358916,,0.493205755,,,
1039,836,865.833,29.8333,96.55441638,,0.033530485,,,
1088,876,906.667,30.6667,96.61761154,,0.060667861,,,
1090,885,908.333,23.3333,97.43122842,,1.123441737,,,
1102,878,918.333,40.3333,95.60802018,,0.582600763,,,
1105,891,920.833,29.8333,96.76021602,,0.151253284,,,
1169,932,974.167,42.1667,95.67148138,,0.4897504,,,
1056,852,880,28,96.81818182,,0.199700616,,,
1050,844,875,31,96.45714286,,0.007368469,,,
1079,856,899.167,43.1667,95.19922328,,1.373771032,,,
1030,824,858.333,34.3333,96.00003728,,0.137838286,,,
1051,843,875.833,32.8333,96.25122598,,0.014418509,,,
1114,897,928.333,31.3333,96.62481028,,0.064265905,,,
1078,868,898.333,30.3333,96.62341248,,0.063559153,,,
1118,895,931.667,36.6667,96.06436635,,0.094210153,,,
1088,880,906.667,26.6667,97.05878785,,0.472635317,,,
1094,892,911.667,19.6667,97.84274302,,2.165135524,,,
1088,886,906.667,20.6667,97.72055231,,1.820473508,,,
1057,844,880.833,36.8333,95.81839009,,0.305712761,,,
1008,809,840,31,96.30952381,,0.003816677,,,
1022,831,851.667,20.6667,97.57334733,,1.444910402,,,
1030,822,858.333,36.3333,95.76702748,,0.365148986,,,
1075,870,895.833,25.8333,97.11631521,,0.555043083,,,
1111,886,925.833,39.8333,95.69760421,,0.453870152,,,
1117,882,930.833,48.8333,94.75383877,,2.616190775,,,
1147,927,955.833,28.8333,96.98346887,,0.374746966,,,
1123,902,935.833,33.8333,96.38471821,,0.000179966,,,
1067,867,889.167,22.1667,97.5069925,,1.289790481,,,
1069,865,890.833,25.8333,97.10012988,,0.531188517,,,
1105,903,920.833,17.8333,98.06338391,,2.863137584,,,
1120,906,933.333,27.3333,97.07146324,,0.490224263,,,
1060,851,883.333,32.3333,96.339659,,0.001001347,,,
1130,889,941.667,52.6667,94.40704623,,3.858304943,,,
1048,845,873.333,28.3333,96.75576212,,0.147808762,,,
1174,972,978.333,6.33333,99.3526744,,8.888574984,,,
1124,907,936.667,29.6667,96.83270575,,0.212892436,,,
1114,882,928.333,46.3333,95.00901078,,1.855840296,,,
1055,855,879.167,24.1667,97.25114796,,0.774127033,,,
1190,940,991.667,51.6667,94.7898841,,2.500885945,,,
1165,939,970.833,31.8333,96.72106325,,0.122332185,,,
1150,925,958.333,33.3333,96.5217727,,0.022641111,,,
1111,890,925.833,35.8333,96.12964757,,0.05839738,,,
1126,896,938.333,42.3333,95.48848863,,0.779361339,,,
1063,854,885.833,31.8333,96.40643327,,0.001234131,,,
1138,917,948.333,31.3333,96.69599181,,0.105422777,,,
1086,886,905,19,97.90055249,,2.338603777,,,
1086,864,905,41,95.46961326,,0.813044514,,,
1049,856,874.167,18.1667,97.92179298,,2.404018947,,,
1140,924,950,26,97.26315789,,0.795405028,,,
1033,828,860.833,32.8333,96.18590365,,0.034372944,,,
1120,890,933.333,43.3333,95.35717691,,1.028451862,,,
1120,900,933.333,33.3333,96.42860587,,0.003283611,,,
1054,862,878.333,16.3333,98.1404547,,3.129897498,,,
1040,841,866.667,25.6667,97.03842422,,0.445050623,,,
1072,865,893.333,28.3333,96.82839434,,0.208932428,,,
1154,935,961.667,26.6667,97.22700269,,0.732221847,,,
1126,921,938.333,17.3333,98.15278798,,3.173688471,,,
1088,893,906.667,13.6667,98.49261085,,4.49994669,,,
1102,877,918.333,41.3333,95.49912722,,0.760690708,,,
1119,905,932.5,27.5,97.05093834,,0.461904097,,,
1129,911,940.833,29.8333,96.82908656,,0.209565728,,,
1176,951,980,29,97.04081633,,0.448248001,,,
1125,914,937.5,23.5,97.49333333,,1.258951912,,,
1085,861,904.167,43.1667,95.22577135,,1.312242932,,,
1088,881,906.667,25.6667,97.16908192,,0.636451099,,,
1139,929,949.167,20.1667,97.87529486,,2.261991316,,,
1038,844,865,21,97.57225434,,1.442283942,,,
1249,995,1040.83,45.8333,95.59678334,,0.599880818,,,
1133,913,944.167,31.1667,96.69899499,,0.107381993,,,
1044,848,870,22,97.47126437,,1.209914857,,,
1128,912,940,28,97.0212766,,0.422465584,,,
1109,889,924.167,35.1667,96.19473537,,0.031176154,,,
1017,809,847.5,38.5,95.45722714,,0.835534808,,,
1144,922,953.333,31.3333,96.71332053,,0.116975942,,,
1070,854,891.667,37.6667,95.77566513,,0.354784555,,,
1119,891,932.5,41.5,95.54959786,,0.67519946,,,
1067,863,889.167,26.1667,97.05713325,,0.470363035,,,
1031,835,859.167,24.1667,97.18715919,,0.665621209,,,
1151,947,959.167,12.1667,98.73150348,,5.570545983,,,
1068,856,890,34,96.17977528,,0.036682894,,,
1001,812,834.167,22.1667,97.34261844,,0.943453557,,,
1087,871,905.833,34.8333,96.1545892,,0.046964901,,,
1138,903,948.333,45.3333,95.21971712,,1.326150189,,,
1091,890,909.167,19.1667,97.89180646,,2.311930546,,,
1078,885,898.333,13.3333,98.5158065,,4.598894959,,,
1144,931,953.333,22.3333,97.6573768,,1.653985647,,,
1021,804,850.833,46.8333,94.49562958,,3.518151052,,,
1246,1008,1038.33,30.3333,97.07896334,,0.500783051,,,
1176,921,980,59,93.97959184,,5.720282623,,,
1101,875,917.5,42.5,95.36784741,,1.006923259,,,
1080,867,900,33,96.33333333,,0.001441701,,,
1020,828,850,22,97.41176471,,1.082560416,,,
1236,996,1030,34,96.69902913,,0.107404368,,,
1082,877,901.667,24.6667,97.26428937,,0.797424525,,,
1053,843,877.5,34.5,96.06837607,,0.091764768,,,
1155,925,962.5,37.5,96.1038961,,0.071506486,,,
1046,863,871.667,8.66667,99.00569828,,6.940038107,,,
1052,846,876.667,30.6667,96.50186445,,0.017046273,,,
1050,834,875,41,95.31428571,,1.11728569,,,
1100,881,916.667,35.6667,96.10905596,,0.068773547,,,
1057,859,880.833,21.8333,97.52132357,,1.32254714,,,
1160,923,966.667,43.6667,95.4827257,,0.78956975,,,
1015,817,845.833,28.8333,96.59117107,,0.048341938,,,
1064,855,886.667,31.6667,96.42853518,,0.003275514,,,
1084,872,903.333,31.3333,96.53140093,,0.025631326,,,
1128,891,940,49,94.78723404,,2.509274684,,,
1035,833,862.5,29.5,96.57971014,,0.043433509,,,
1037,827,864.167,37.1667,95.6990952,,0.451863423,,,
1082,855,901.667,46.6667,94.82436421,,2.393019851,,,
1253,1027,1044.17,17.1667,98.35563175,,3.937560294,,,
1090,872,908.333,36.3333,96.00003523,,0.137839809,,,
1005,807,837.5,30.5,96.35820896,,0.000171456,,,
1026,818,855,37,95.67251462,,0.488305298,,,
1035,822,862.5,40.5,95.30434783,,1.138393493,,,
1110,864,925,61,93.40540541,,8.796548957,,,
1106,864,921.667,57.6667,93.7431849,,6.9070051,,,
1156,918,963.333,45.3333,95.29415062,,1.160257399,,,
1056,847,880,33,96.25,,0.014714435,,,
1171,929,975.833,46.8333,95.2007157,,1.3702748,,,
1055,844,879.167,35.1667,95.9999636,,0.137893001,,,
1072,861,893.333,32.3333,96.38063298,,8.70472E-05,,,
1210,982,1008.33,26.3333,97.3887517,,1.035201711,,,
