m,score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1130,823,941.667,118.667,87.39819915,,0.907995615,,,
1139,843,949.167,106.167,88.81471859,,0.214954075,,,
1021,763,850.833,87.8333,89.6768226,,1.757574367,,,
1111,833,925.833,92.8333,89.97302969,,2.630697484,,,
1143,855,952.5,97.5,89.76377953,,1.995699641,,,
1050,757,875,118,86.51428571,,3.373839661,,,
1147,848,955.833,107.833,88.71842675,,0.134938356,,,
1036,771,863.333,92.3333,89.30505379,,0.910052266,,,
1071,788,892.5,104.5,88.29131653,,0.003572532,,,
,,,,88351.08719,,1478.805527,,,
